ind,fc,fy,b,d,szx,szy,ag,nu,mu
0,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,-5.4912,0.0
1,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,-4.425664285714285,0.5105057716836738
2,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,-3.6865529148861365,0.8252528154247455
3,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,-2.3730195214158982,1.3599732680225909
4,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,-1.3822603595682763,1.760510713320089
5,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,-0.6789575187969927,2.0408064317960313
6,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,0.03079744010449818,2.3168769126108986
7,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,0.6718479368330998,2.559055084592415
8,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,1.2657447008103369,2.7758478146175003
9,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,1.8258784765311338,2.9725409228815165
10,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,2.3613871240601507,3.1526417364182984
11,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,3.0182349892588625,3.336927237814638
12,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,3.6395052796807708,3.505858303109363
13,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,4.232526474637297,3.6612027672240886
14,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,4.751267856988022,3.7839547475949264
15,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,5.339409174445399,3.893383471571403
16,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,5.920655562949344,3.9948515777191904
17,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,6.484051644996469,4.088551128880202
18,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,7.032334623542802,4.174634919477818
19,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,7.6317186230851455,4.244803741079863
20,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,8.235037640139291,4.305600181631861
21,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,8.821714285714286,4.360008668720674
22,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,9.348987338333593,4.4020750292501925
23,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,9.90839055621831,4.443568844055569
24,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,10.456540158690357,4.478550311213403
25,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,10.994707065637067,4.506990092776153
26,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,11.52397776578073,4.528863108210064
27,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,12.120504024581203,4.514456700668175
28,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,12.781687991721498,4.465096605221015
29,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,13.426799179492354,4.412911090690833
30,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,14.012485220051548,4.357525043547407
31,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,14.629846099402052,4.298609427198094
32,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,15.235182110791687,4.235874417967318
33,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,15.829536955668102,4.169063732604871
34,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,16.4138369472844,4.097949912797125
35,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,16.988907063081967,4.022330383468121
36,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,17.55548443307501,3.9420241406762773
37,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,18.114229729643256,3.856868954825008
38,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,18.620856830032796,3.772624261171717
39,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,19.165661049637368,3.6773480854953657
40,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,19.70424618676163,3.5768268931863054
41,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,20.237050574327387,3.470953050604546
42,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,20.76447229808999,3.3596288068928177
43,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,21.286873712287047,3.242765185148808
44,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,21.80458536065473,3.120281019610774
45,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,22.317909392202974,2.992102116906181
46,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,22.82712254610583,2.8581605231051537
47,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,23.332478767814468,2.7183938813279984
48,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,23.83421150847567,2.5727448671178132
49,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,24.33253575149842,2.4211606908124477
50,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,24.827649803309246,2.263592657820525
51,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,25.312789511278194,2.0990816516664634
52,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,25.794755836992557,1.9284585992272847
53,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,26.27428805698457,1.7517615243146634
54,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,26.63931759274455,1.6132422087997011
55,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,27.114366572130688,1.4242866789237307
56,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,27.587348636611015,1.2291518158857804
57,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,28.058369665801983,1.027807253307371
58,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,28.527528429022944,0.8202246640502311
59,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,28.994917172302046,0.6063775918624662
60,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.377109648172908,0.4281343011510649
61,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.425652666091455,0.41421211570773336
62,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.472668311925435,0.4007279820855276
63,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.51822755570419,0.38766154601000086
64,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.562397037646914,0.3749936950005257
65,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.60523939339875,0.3627064650922598
66,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.6468135503845,0.3507829558416162
67,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.687174998228553,0.33920725276956476
68,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.726376035850777,0.327964356494279
69,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.761779951040392,0.31704011788958447
70,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.793309446529257,0.3064211786797882
71,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.823969931188394,0.29609491694644896
72,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.853796843939755,0.2860493970796836
73,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.882823722580177,0.2762733237567951
74,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.91108232957691,0.2667559995751343
75,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.938602768005076,0.25748728600505155
76,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.96541358851675,0.24845756736338473
77,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,29.991541888140716,0.23965771753831333
78,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.017013401631697,0.23107906922351099
79,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.041852586016283,0.22271338544357663
80,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.066082698919573,0.2145528331741175
81,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.089725871199736,0.20658995887888937
82,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.112803174367336,0.1988176658033701
83,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.135334683221092,0.19122919287942503
84,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.157339534091445,0.18381809510922908
85,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.178835979047147,0.17657822530884554
86,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.199841436387455,0.1695037171027293
87,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.22021564867583,0.16260961236480165
88,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.235868620248016,0.15643080779683585
89,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.25117591464505,0.15038845474537707
90,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.26614885761028,0.14447808252225644
91,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.280798285464353,0.13869541363249313
92,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.295134571259613,0.13303635345015613
93,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.309167649275032,0.1274969805493308
94,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.322907037973255,0.12207353764213788
95,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.336361861531152,0.1167624230798081
96,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.349540870046336,0.11156018287644454
97,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.36245245851361,0.10646350321831198
98,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.37510468465782,0.10146920342454523
99,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.387505285702783,0.09657422932784684
100,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.399661694149536,0.09177564704623391
101,30.0,390.0,950.0,950.0,0.03763621052631579,0.03763621052631579,0.01408,30.632160000000002,0.0
102,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,-8.2368,0.0
103,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,-7.171264285714286,0.5105057716836736
104,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,-6.302731937983445,0.8763400431494929
105,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,-4.6300087585536875,1.5528459375734631
106,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,-3.4091695033955873,2.044204472335623
107,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,-2.590769097744362,2.3699334401062804
108,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,-1.7325553520453691,2.7005560243062834
109,30.0,390.0,950.0,950.0,0.05703326315789474,0.05703326315789474,0.021120000000000003,-0.7983658167124409,3.031744025823526
